"","Check","Fund","PV","Department","Vendor","InvoiceDate","StampDate","APDate","CheckDate","Amount","AP","TotalDays","Qtr","APUnder7","AP7_14","APOver14","TotalUnder45","Total46_90","Total91_135","TotalOver135"
"1",1711152,"LLE","","Health","Priority Health Care",2014-09-23,NA,2014-09-30,2014-10-01,"",2,8,2014 Q4,1,0,0,1,0,0,0
"2",1711162,"HUD","","OCD","Canon Financial Services Inc",2014-09-12,NA,2014-09-26,2014-10-01,"",4,19,2014 Q4,1,0,0,1,0,0,0
"3",1711167,"HUD","","OCD","Atlantic Information Services",2014-09-19,NA,2014-09-30,2014-10-01,"",2,12,2014 Q4,1,0,0,1,0,0,0
"4",1711172,"HUD","","OCD","Project Lazarus",2014-07-17,NA,2014-09-26,2014-10-01,"",4,76,2014 Q4,1,0,0,0,1,0,0
"5",1711187,"LSS","","OCD","Lindy's Place Inc",2014-08-26,NA,2014-10-02,2014-10-02,"",1,37,2014 Q4,1,0,0,1,0,0,0
"6",1711192,"HUD","","OCD","Harmony Neighborhood Development",2014-09-25,NA,2014-09-26,2014-10-02,"",5,7,2014 Q4,1,0,0,1,0,0,0
"7",1711197,"FEM","","Homeland Security","B&H Photo-Video-Pro Audio",2014-09-18,NA,2014-10-01,2014-10-03,"",3,15,2014 Q4,1,0,0,1,0,0,0
"8",1711202,"FEM","","Homeland Security","Rosa L. Gordon",2014-08-26,NA,2014-10-01,2014-10-03,"",3,38,2014 Q4,1,0,0,1,0,0,0
"9",1711207,"51","","Public Works","Waggoner Engineering",2014-05-06,NA,2014-09-26,2014-10-03,"",6,150,2014 Q4,1,0,0,0,0,0,1
"10",1711212,"51","","Public Works","Digital Engineering & Imaging",2014-09-02,NA,2014-10-01,2014-10-03,"",3,31,2014 Q4,1,0,0,1,0,0,0
"11",1711217,"51","","Public Works","Hixson Autoplex of Alexandria",2014-09-23,NA,2014-10-01,2014-10-03,"",3,10,2014 Q4,1,0,0,1,0,0,0
"12",1711222,"PRIV","","Mayor","Charles E. Allen III",2014-09-20,NA,2014-10-02,2014-10-07,"",4,17,2014 Q4,1,0,0,1,0,0,0
"13",1711227,"51","","Public Works","Aecom USA Inc",2014-09-05,NA,2014-10-06,2014-10-07,"",2,32,2014 Q4,1,0,0,1,0,0,0
"14",1711232,"FDH","","Health","Falcon Security Company",2014-09-24,NA,2014-10-02,2014-10-07,"",4,13,2014 Q4,1,0,0,1,0,0,0
"15",1711237,"FEM","","Homeland Security","Cathleen Hightower",2014-09-13,NA,2014-10-06,2014-10-07,"",2,24,2014 Q4,1,0,0,1,0,0,0
"16",1711242,"FDH","","Health","Documart",2014-09-25,NA,2014-10-02,2014-10-07,"",4,12,2014 Q4,1,0,0,1,0,0,0
"17",1711247,"51","","Public Works","Custom Products Corp",2014-09-24,NA,2014-10-06,2014-10-07,"",2,13,2014 Q4,1,0,0,1,0,0,0
"18",1711252,"LSS","","OCD","Community Service Center",2014-09-23,NA,2014-09-04,2014-10-07,"",24,14,2014 Q4,0,0,1,1,0,0,0
"19",1711257,"LSS","","OCD","Community Service Center",2014-09-04,NA,2014-09-26,2014-10-07,"",8,33,2014 Q4,0,1,0,1,0,0,0
"20",1711262,"HUD","","OCD","Louisiana Office Products",2014-10-01,NA,2014-10-03,2014-10-07,"",3,6,2014 Q4,1,0,0,1,0,0,0
"21",1711272,"HUD","","OCD","Responsibility House",2014-09-10,NA,2014-10-01,2014-10-07,"",5,27,2014 Q4,1,0,0,1,0,0,0
"22",1711277,"FDH","","Health","Royal Parking DBA GoPark",2014-09-15,NA,2014-10-02,2014-10-07,"",4,22,2014 Q4,1,0,0,1,0,0,0
"23",1711287,"FDH","","Health","Trillion Enterprise",2014-03-15,NA,2014-10-02,2014-10-09,"",6,208,2014 Q4,1,0,0,0,0,0,1
"24",1711292,"PRIV","","Mayor","Oak Street Merchants Residents",2014-09-10,NA,2014-10-09,2014-10-09,"",1,29,2014 Q4,1,0,0,1,0,0,0
"25",1711297,"LDH","","Health","Sprint",2014-09-29,NA,2014-10-07,2014-10-09,"",3,10,2014 Q4,1,0,0,1,0,0,0
"26",1711307,"51","","Public Works","Crescent Decal",2014-07-31,NA,2014-10-09,2014-10-09,"",1,70,2014 Q4,1,0,0,0,1,0,0
"27",1711312,"51","","Public Works","Headquarter 911",2014-09-04,NA,2014-10-09,2014-10-09,"",1,35,2014 Q4,1,0,0,1,0,0,0
"28",1711317,"51","","Public Works","CH Fenstermaker & Associates Inc",2014-09-11,NA,2014-10-09,2014-10-09,"",1,28,2014 Q4,1,0,0,1,0,0,0
"29",1711332,"51","","Law","Clayton Law Firm LLC",2014-08-08,NA,2014-10-03,2014-10-09,"",5,62,2014 Q4,1,0,0,0,1,0,0
"30",1711337,"51","","Public Works","Hard Rock Construction",2014-09-16,NA,2014-10-08,2014-10-10,"",3,24,2014 Q4,1,0,0,1,0,0,0
"31",1711342,"HUD","","OCD","JJ Land Rental LLC",2014-09-09,NA,2014-10-09,2014-10-10,"",2,31,2014 Q4,1,0,0,1,0,0,0
"32",1711347,"HUD","","OCD","St. Bernard Project",2014-10-01,NA,2014-10-06,2014-10-14,"",7,13,2014 Q4,1,0,0,1,0,0,0
"33",1711352,"FDH","","Health","Nextel",2014-09-22,NA,2014-10-06,2014-10-14,"",7,22,2014 Q4,1,0,0,1,0,0,0
"34",1711357,"51","","Property Mgmt","FHP Tectonics",2014-09-16,NA,2014-10-09,2014-10-14,"",4,28,2014 Q4,1,0,0,1,0,0,0
"35",1711362,"HUD","","OCD","Carol Reggio",2014-08-09,NA,2014-10-09,2014-10-14,"",4,66,2014 Q4,1,0,0,0,1,0,0
"36",1711367,"51","","Public Works","Fleming Construction Co.",2014-04-30,NA,2014-10-14,2014-10-14,"",1,167,2014 Q4,1,0,0,0,0,0,1
"37",1711372,"FEM","","Property Mgmt","Maritime Development Center",2014-09-30,NA,2014-10-03,2014-10-14,"",8,14,2014 Q4,0,1,0,1,0,0,0
"38",1711377,"51","","Public Works","Magnum Construction Group",2014-09-22,NA,2014-10-14,2014-10-14,"",1,22,2014 Q4,1,0,0,1,0,0,0
"39",1711666,"FDH","","Health","Vidya Mandhare",2014-09-19,NA,2014-10-13,2014-10-16,"",4,27,2014 Q4,1,0,0,1,0,0,0
"40",1711671,"LDH","","Health","Falcon Security Company",2014-10-08,NA,2014-10-13,2014-10-16,"",4,8,2014 Q4,1,0,0,1,0,0,0
"41",1711674,"FDH","","Health","DS Waters of America",2014-10-01,NA,2014-10-16,2014-10-16,"",1,15,2014 Q4,1,0,0,1,0,0,0
"42",1711679,"HUD","","OCD","St. Bernard Project",2014-10-08,NA,2014-10-16,2014-10-16,"",1,8,2014 Q4,1,0,0,1,0,0,0
"43",1711689,"51","","Public Works","DOW Agrosciences",2014-10-03,NA,2014-10-15,2014-10-16,"",2,13,2014 Q4,1,0,0,1,0,0,0
