"","Check","PO","Account.String","Department","Invoice.Date","Stamp.Date","Accounts.Payable.Date","Check.Date","Vendor","Amount","AP","TotalDays","Qtr","APUnder7","AP7_14","APOver14","TotalUnder30","Total31_60","Total61_90","Total91_120","TotalOver120"
"1",89179,"8972152388","0235-0897-8972-200-212150","rivergate development corp.",2012-12-10,NA,2012-12-11,2013-01-03,"Steffes, Vingiello, McKenzie",2168,16,24,2013 Q1,0,0,1,1,0,0,0,0
"2",89180,"8910267290","0200-0900-8910-200-212158","aviation",2012-10-16,NA,2012-12-12,2013-01-03,"LeBlanc Butler LLC",23461.3,15,79,2013 Q1,0,0,1,0,0,1,0,0
"3",89181,"2177260098","0001-0210-2177-200-212156","strategic opportunity match fu",2012-08-20,NA,2012-12-07,2013-01-03,"Perez A Professional Corporation",66.25,18,136,2013 Q1,0,0,1,0,0,0,0,1
"4",89182,"2130265072","0001-0000-0000-000-03A720","homeland security",2012-12-04,NA,2012-12-06,2013-01-03,"Pelican Computer",5990,19,30,2013 Q1,0,0,1,1,0,0,0,0
"5",89183,"8910266451","0200-0900-8910-200-212140","aviation",2012-11-20,NA,2012-12-21,2013-01-03,"Mele Printing, Inc.",188.52,8,44,2013 Q1,0,1,0,0,1,0,0,0
"6",89184,"4527268055","0001-0450-4527-200-213050","property mgmt",2012-12-21,NA,2012-12-23,2013-01-03,"Armstrong's Supply Co., Inc.",955,8,13,2013 Q1,0,1,0,1,0,0,0,0
"7",89185,"8910267298","0200-0900-8910-200-212158","aviation",2012-11-15,NA,2012-12-27,2013-01-03,"Dwyer, Cambre, & Suffern",44074,5,49,2013 Q1,1,0,0,0,1,0,0,0
"8",89186,"3871267188","0001-0000-0000-000-02A500","youth study center",2012-12-03,NA,2012-12-06,2013-01-03,"main office supply co., inc.",824.47,19,31,2013 Q1,0,0,1,0,1,0,0,0
"9",89187,"6232267269","0001-0620-6232-200-213270","parks & parkways",2012-11-16,NA,2012-12-07,2013-01-03,"Nolmar corporation",76.8,18,48,2013 Q1,0,0,1,0,1,0,0,0
"10",89188,"2297259628","0001-0220-2297-200-212180","emd",2012-11-06,NA,2012-12-13,2013-01-03,"LEE TRACTOR CO., INC.",306.23,14,58,2013 Q1,0,1,0,0,1,0,0,0
"11",89189,"8910267376","0200-0000-0000-000-02A500","aviation",2012-10-15,NA,2012-12-21,2013-01-03,"Jefferson Parish",46186.11,8,80,2013 Q1,0,1,0,0,0,1,0,0
"12",89190,"8910259126","0200-0900-8910-200-213210","aviation",2012-12-03,NA,2012-12-14,2013-01-03,"Retif Oil & Fuel",5447.29,13,31,2013 Q1,0,1,0,0,1,0,0,0
"13",89191,"8910266089","0200-0900-8910-200-213020","aviation",2012-11-26,NA,2012-12-12,2013-01-03,"Sherwin Williams Company",140,15,38,2013 Q1,0,0,1,0,1,0,0,0
"14",89193,"3611267099","0001-0360-3611-200-214378","health",2012-12-03,NA,2012-12-07,2013-01-03,"Louisiana Office Products",198.99,18,31,2013 Q1,0,0,1,0,1,0,0,0
"15",89194,"8910265951","0200-0900-8910-200-213270","aviation",2012-12-03,NA,2012-12-12,2013-01-03,"ALLEN ENTERPRISES, INC.",503,15,31,2013 Q1,0,0,1,0,1,0,0,0
"16",89195,"8910257864","0200-0900-8910-200-212010","aviation",2012-11-14,NA,2012-12-13,2013-01-03,"United Media Corporation",400,14,50,2013 Q1,0,1,0,0,1,0,0,0
"17",89196,"8910266628","0200-0900-8910-200-213250","aviation",2012-11-27,NA,2012-12-12,2013-01-03,"american office machines",534.45,15,37,2013 Q1,0,0,1,0,1,0,0,0
"18",89197,"6850266677","0001-0685-6860-200-213130","mtcb",2012-11-26,NA,2012-11-30,2013-01-03,"ADAPCO, INC.",23214.8,23,38,2013 Q1,0,0,1,0,1,0,0,0
"19",89198,"3611266747","0001-0360-3611-200-212150","health",2012-10-31,NA,2012-12-06,2013-01-03,"Alere Taxicology Services, Inc.",13.5,19,64,2013 Q1,0,0,1,0,0,1,0,0
"20",89199,"2020264172","0001-0000-0000-000-02A500","council",2012-07-18,NA,2012-12-07,2013-01-03,"Ives Business Forms, Inc.",989.4,18,169,2013 Q1,0,0,1,0,0,0,0,1
"21",89200,"3631263640","0001-0360-3631-200-212159","health",2012-11-05,NA,2012-12-07,2013-01-03,"Crescent Guardian, Inc.",249.96,18,59,2013 Q1,0,0,1,0,1,0,0,0
"22",89201,"8910257867","0200-0900-8910-200-212170","aviation",2012-11-15,NA,2012-12-12,2013-01-03,"Kyocera Mita America, Inc.",135.34,15,49,2013 Q1,0,0,1,0,1,0,0,0
"23",89202,"2115267054","0001-0000-0000-000-03A720","mayor's office - core",2012-02-10,NA,2012-12-05,2013-01-03,"Pigeon Caterers",202.28,20,328,2013 Q1,0,0,1,0,0,0,0,1
"24",89203,"8910258164","0200-0900-8910-200-212157","aviation",2012-12-05,NA,2012-12-13,2013-01-03,"Metro - Source, L.L.C.",19223.94,14,29,2013 Q1,0,1,0,1,0,0,0,0
"25",89204,"3025259066","0001-0300-3025-200-212022","sanitation",2012-11-30,NA,2012-12-28,2013-01-03,"Metro Disposal, Inc.",10339.12,4,34,2013 Q1,1,0,0,0,1,0,0,0
"26",89205,"5001212398","0001-0500-5001-200-212050","public works",2012-11-21,NA,2012-12-10,2013-01-03,"International Parking Institute",595,17,43,2013 Q1,0,0,1,0,1,0,0,0
"27",89206,"8910267222","0200-0900-8910-200-212150","aviation",2012-07-25,NA,2012-12-12,2013-01-03,"Oil Mop LLC",2391.8,15,162,2013 Q1,0,0,1,0,0,0,0,1
"28",89207,"5001257923","0001-0500-5001-200-213110","public works",2012-11-29,NA,2012-12-07,2013-01-03,"DS Waters of America,Inc",181.06,18,35,2013 Q1,0,0,1,0,1,0,0,0
"29",89208,"8910266905","0200-0900-8910-200-214352","aviation",2012-10-29,NA,2012-12-12,2013-01-03,"Grainger, Inc.",1975.4,15,66,2013 Q1,0,0,1,0,0,1,0,0
"30",89209,"8910267043","0200-0900-8910-200-223180","aviation",2012-11-30,NA,2012-12-12,2013-01-03,"Assorted Products",879.56,15,34,2013 Q1,0,0,1,0,1,0,0,0
"31",89210,"2297264356","0001-0220-2297-200-213220","emd",2012-12-13,NA,2012-12-28,2013-01-03,"Lamarque Ford, Inc",1469.25,4,21,2013 Q1,1,0,0,1,0,0,0,0
"32",89211,"6850267303","0237-0685-6850-200-213270","mtcb",2012-08-31,NA,2012-12-10,2013-01-03,"Walter W. Eckert Binder & Specialty Co., Inc.",50,17,125,2013 Q1,0,0,1,0,0,0,0,1
"33",89212,"2297262979","0001-0220-2297-200-212180","emd",2012-10-10,NA,2012-12-13,2013-01-03,"GLASS DOCTOR",1407.32,14,85,2013 Q1,0,1,0,0,0,1,0,0
"34",89213,"4001267899","0001-0000-0000-000-02A500","finance",2011-11-14,NA,2012-01-02,2013-01-03,"Hewlett-Packard",596,254,416,2013 Q1,0,0,1,0,0,0,0,1
"35",89214,"2176267215","0001-0210-2176-200-212140","mayor's office - core",2012-11-16,NA,2012-12-06,2013-01-03,"Documart Printing",4370.31,19,48,2013 Q1,0,0,1,0,1,0,0,0
"36",89215,"6263267242","0001-0380-3810-200-212150","ocd",2012-11-01,NA,2012-12-07,2013-01-03,"Occupational Health Centers of Louisiana",186,18,63,2013 Q1,0,0,1,0,0,1,0,0
"37",89216,"8910257846","0200-0900-8910-200-212185","aviation",2012-12-01,NA,2012-12-13,2013-01-03,"Xerox Capital Services LLC",41.33,14,33,2013 Q1,0,1,0,0,1,0,0,0
"38",89217,"2010264022","0001-0200-2010-200-212159","council",2012-12-03,NA,2012-12-10,2013-01-03,"orleans parish civil sheriff",40286.75,17,31,2013 Q1,0,0,1,0,1,0,0,0
"39",89218,"2297266625","0001-0220-2297-200-214356","emd",2012-11-30,NA,2012-12-13,2013-01-03,"Nextel Communications",1118.27,14,34,2013 Q1,0,1,0,0,1,0,0,0
"40",89219,"3611266785","0001-0360-3611-200-223110","health",2012-08-31,NA,2012-12-06,2013-01-03,"Francis Lawless",28.64,19,125,2013 Q1,0,0,1,0,0,0,0,1
"41",89220,"8503257778","0001-0220-2231-200-212150","sheriff",2012-12-06,NA,2012-12-07,2013-01-03,"Orleans Parish Sheriff's Office",400,18,28,2013 Q1,0,0,1,1,0,0,0,0
"42",89221,"8910265566","0200-0000-0000-000-03A720","aviation",2012-12-05,NA,2012-12-12,2013-01-03,"BOH BROS. CONSTRUCTION CO., L.L.C.",16500,15,29,2013 Q1,0,0,1,1,0,0,0,0
"43",89222,"6850266365","PRIV-0685-6861-200-223130","mtcb",2012-11-13,NA,2012-12-10,2013-01-03,"eddie's ace hardware",98.98,17,51,2013 Q1,0,0,1,0,1,0,0,0
"44",89223,"8910267154","0200-0900-8910-200-212110","aviation",2012-11-08,NA,2012-12-12,2013-01-03,"Eustis Insurance",140333,15,56,2013 Q1,0,0,1,0,1,0,0,0
"45",89224,"8910212456","0200-0900-8910-200-212160","aviation",2012-10-04,NA,2012-12-27,2013-01-03,"City of New Orleans",1670.63,5,91,2013 Q1,1,0,0,0,0,0,1,0
"46",89225,"4041267190","0001-0400-4041-200-212130","treasury",2012-11-15,NA,2012-12-05,2013-01-03,"FedEx Expres Shipment",69.82,20,49,2013 Q1,0,0,1,0,1,0,0,0
"47",89226,"2297263439","0001-0220-2297-200-212180","emd",2012-11-13,NA,2012-12-10,2013-01-03,"Banner Cheverolet",119.99,17,51,2013 Q1,0,0,1,0,1,0,0,0
"48",89227,"8972257595","0235-0897-8972-200-212172","rivergate development corp.",2012-11-18,NA,2012-12-11,2013-01-03,"Verizon Wireless",115.62,16,46,2013 Q1,0,0,1,0,1,0,0,0
"49",89228,"7242262623","0001-0000-0000-000-02A500","cao",2012-11-01,NA,2012-12-28,2013-01-03,"Regional Planning Commission",47500,4,63,2013 Q1,1,0,0,0,0,1,0,0
"50",89229,"6850212391","PRIV-0685-6861-200-212040","mtcb",2012-11-09,NA,2012-12-10,2013-01-03,"Edgar S. Bordes",15,17,55,2013 Q1,0,0,1,0,1,0,0,0
"51",89230,"2297259566","0001-0220-2297-200-213220","emd",2012-11-26,NA,2012-12-19,2013-01-03,"Blades, Ltd.",475,10,38,2013 Q1,0,1,0,0,1,0,0,0
"52",89231,"6263267243","0001-0620-6263-200-213110","parks & parkways",2012-12-04,NA,2012-12-07,2013-01-03,"PELICAN ICE & COLD STORAGE INC.",165,18,30,2013 Q1,0,0,1,1,0,0,0,0
"53",89232,"8910258168","0200-0900-8910-200-212150","aviation",2012-12-11,NA,2012-12-26,2013-01-03,"INTERNATIONAL DISPLAY SYSTEMS INC",7813.05,6,23,2013 Q1,1,0,0,1,0,0,0,0
"54",89233,"8910257882","0200-0900-8910-200-212185","aviation",2012-12-06,NA,2012-12-19,2013-01-03,"Airport Bridge Company, Inc.",37661.08,10,28,2013 Q1,0,1,0,1,0,0,0,0
"55",89234,"2285258274","0001-0220-2215-200-213110","health",2012-11-04,NA,2012-12-07,2013-01-03,"Kentwood Springs a Brand of DS Waters of America Inc.",120.08,18,60,2013 Q1,0,0,1,0,1,0,0,0
"56",89235,"8910258169","0200-0000-0000-000-02A500","aviation",2012-12-03,NA,2012-12-18,2013-01-03,"R&P Grass Mainternance, LLC",20067.44,11,31,2013 Q1,0,1,0,0,1,0,0,0
"57",89236,"8910258120","0200-0900-8910-200-212185","aviation",2012-11-30,NA,2012-12-26,2013-01-03,"Schindler Elevator Corporation",9570.61,6,34,2013 Q1,1,0,0,0,1,0,0,0
"58",89237,"5001260523","0001-0500-5052-200-213020","public works",2012-11-20,NA,2012-12-07,2013-01-03,"CUSTOM PRODUCTS",1129,18,44,2013 Q1,0,0,1,0,1,0,0,0
"59",89238,"8910258171","0200-0900-8910-200-212185","aviation",2012-12-03,NA,2012-12-18,2013-01-03,"Lagarde Ltd. DBA Chiller Specialties",25436.13,11,31,2013 Q1,0,1,0,0,1,0,0,0
