Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date Sent to State,Date Sent to Hancock by State,Date Revolver Check Received,Record ID#,Invoice Amount
RR3 - LNW Northwest Group A (PMOI),"Burk-Kleinpeter, Inc",Architect/Engineer,no,Revolver Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,01-31-2017,02-03-2017,02-22-2017,,,,,,,,21428,"$3,234.78"
St. Roch Modeling & Hydraulic Study,"Ardaman & Associates, Inc",Testing,no,Revolver Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,02-13-2017,02-13-2017,02-21-2017,,,,,,,,21417,"$21,167.87"
RR3 - Gentilly Terrace Group A (INC),Phoenix Global Engineering,Architect/Engineer,no,Revolver Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,12-31-2016,01-26-2017,02-16-2017,,,,,,,,21385,"$19,593.3"
RR3 - Desire Group A (INC),Phoenix Global Engineering,Architect/Engineer,no,Revolver Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,11-30-2016,01-25-2017,02-16-2017,,,,,,,,21386,"$44,910.45"
RR3 - Desire Group A (INC),Phoenix Global Engineering,Architect/Engineer,no,Revolver Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,12-31-2016,01-26-2017,02-16-2017,,,,,,,,21387,"$20,727.9"
RR3 - Lakeview South Group A (PMOPI),Richard C. Lambert,Architect/Engineer,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,11-03-2016,01-30-2017,02-06-2017,02-15-2017,01-18-2017,02-17-2017,02-17-2017,02-20-2017,,,21096,"$20,298.5"
RR3 - Broadmoor Group A (PMOPI),Digital Engineering and Imaging,Architect/Engineer,no,Revolver Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,01-28-2017,01-03-2017,02-01-2017,,,,,,,,21295,"$197,834.25"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,Revolver Only,10 Paid,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,09-02-2016,12-16-2016,01-31-2017,01-13-2017,01-20-2017,01-24-2017,01-24-2017,01-31-2017,02-10-2017,02-13-2017,21187,"$8,983"
RR3 - Filmore South Group A (PMOPI),"Volkert, Inc",Architect/Engineer,no,Revolver Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,12-23-2016,12-31-2016,01-23-2017,,,,,,,,21256,"$79,053.93"
RR3 - Filmore South Group A (PMOPI),"Volkert, Inc",Architect/Engineer,no,Revolver Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,12-23-2016,12-31-2016,01-23-2017,,,,,,,,21257,"$28,000"
Broadmoor Drainage,"CDM Smith, Inc.",Architect/Engineer,no,Revolver Only,08 State to Send to Hancock,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,02-26-2016,01-08-2017,01-23-2017,02-02-2017,02-03-2017,02-14-2017,02-14-2017,02-20-2017,,,21259,"$88,422.64"
