Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Record ID#,Invoice Amount
NOPD Consent Decree ,Sierra-Cedar,Project Manager,no,Express Pay,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,12-31-2016,12-07-2016,02-06-2017,,,,,,21310,"$459,397.7"
Timecard Management System,"Data Management, Inc",Other,no,Express Pay,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,01-31-2017,02-01-2017,02-02-2017,02-02-2017,02-08-2017,02-20-2017,02-20-2017,,21326,$730
Criminal District Courts Phase II - Interior Renovations & Furnishings,"Battco Construction & Maintenance, Inc.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-27-2016,01-17-2017,01-18-2017,01-20-2017,01-23-2017,01-30-2017,01-30-2017,01-31-2017,21225,"$72,641.75"
NOPD Third District Police Station,Hernandez Consulting,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-31-2016,01-13-2017,01-13-2017,01-13-2017,01-18-2017,01-30-2017,01-30-2017,01-30-2017,21188,"$299,394.8"
NOPD Training Academy,"Battco Construction & Maintenance, Inc.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-25-2016,01-13-2017,01-13-2017,01-13-2017,01-18-2017,01-30-2017,01-30-2017,01-31-2017,21189,"$110,296.9"
Timecard Management System,"Data Management, Inc",Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,01-31-2017,01-01-2017,01-04-2017,01-04-2017,01-10-2017,01-13-2017,01-13-2017,01-17-2017,21174,$687.5
Criminal District Courts Phase II - Interior Renovations & Furnishings,"Battco Construction & Maintenance, Inc.",General Contractor,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-27-2016,12-20-2016,12-21-2016,12-22-2016,12-22-2016,12-28-2016,12-28-2016,12-26-2016,21090,"$120,603.45"
NOPD Third District Police Station,Hernandez Consulting,Other,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-30-2016,12-15-2016,12-15-2016,12-15-2016,12-16-2016,12-28-2016,12-28-2016,12-28-2016,21037,"$488,466.7"
Criminal District Court - Structural Wind Retro-Fit,Yeates and Yeates Architects,Architect/Engineer,no,Express Pay/City,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,12-09-2016,12-09-2016,12-13-2016,12-15-2016,12-16-2016,02-13-2017,02-13-2017,02-13-2017,21028,"$204,922.35"
PDU Software & Business Applications,"Ask Reply, Inc",Other,no,Express Pay,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,10-31-2017,09-15-2016,12-08-2016,12-20-2016,02-15-2017,02-20-2017,02-20-2017,,21087,"$22,100"
