Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Date City Check Released,Record ID#,Invoice Amount
NOPL Libraries - Security Gates & Cameras,Envisionware,Other,no,City Only,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,02-14-2017,02-14-2017,02-22-2017,02-22-2017,,,,,,21426,"$9,102.85"
New Orleans Coroner's Complex EMS EOC Security Upgrades,Active Solutions LLC,,no,City Only,01 PM to Approve,1 PM to Approve,01 PM to Approve,02-10-2017,02-10-2017,02-21-2017,,,,,,,21414,"$33,118"
NOPD Second District Police Station,Concordia Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,02-13-2017,02-13-2017,02-20-2017,02-21-2017,02-21-2017,02-22-2017,02-22-2017,,,21404,$363.25
Latter Library Renovations Phase II,Concordia Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,02-01-2017,02-14-2017,02-20-2017,02-21-2017,02-21-2017,02-22-2017,02-22-2017,,,21405,"$17,064.73"
Gallier Hall Mardi Gras Bleachers,"Womack & Sons Construction Group, Inc",General Contractor,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,02-01-2017,02-01-2017,02-16-2017,02-16-2017,02-22-2017,02-23-2017,02-23-2017,,,21364,"$292,500"
West Bank Natatorium at Behrman Park,Sizeler Thompson Brown Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,02-09-2017,02-09-2017,02-13-2017,02-15-2017,02-16-2017,02-17-2017,02-17-2017,,,21353,"$30,368.48"
Lemann II Playground,NOLA Media Group,Other,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,02-10-2017,02-10-2017,02-10-2017,02-10-2017,02-14-2017,02-14-2017,02-14-2017,,,21350,$26.04
Lemann II Playground,Concordia Architects,Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,01-06-2017,02-01-2017,02-07-2017,02-15-2017,02-17-2017,02-20-2017,02-20-2017,,,21317,$758.43
Youth Study Center (Detention Center Expansion),NANO LLC,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,02-07-2017,02-07-2017,02-07-2017,02-07-2017,02-08-2017,02-09-2017,02-09-2017,02-15-2017,02-15-2017,21318,"$107,145.66"
NOPD Headquarters Parking Garage Structural Assessment,Julien Engineering & Consulting,Architect/Engineer,no,City Only,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,03-30-2016,03-30-2016,02-03-2017,02-03-2017,02-03-2017,02-06-2017,02-06-2017,,,21307,"$7,125"
