Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,Total Invoice Payment Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Record ID#,Invoice Amount
Joe Brown Park Pavement,Evans-Graves Engineering   Inc,Architect/Engineer,no,Express Pay,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,02-21-2017,02-21-2017,02-22-2017,,,,,,21423,"$5,484.5"
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,Express Pay,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,01-27-2017,02-15-2017,02-17-2017,,,,,,21396,"$1,115.65"
"Recovery Program - Seventh Ward, Fairgrounds/Bayou St. John",Urban Systems,Architect/Engineer,no,Express Pay,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,01-31-2017,02-14-2017,02-17-2017,,,,,,21398,"$163,340.42"
"Recovery Program - Seventh Ward, Fairgrounds/Bayou St. John",Urban Systems,Architect/Engineer,no,Express Pay,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,01-31-2017,02-14-2017,02-17-2017,,,,,,21399,"$58,709.55"
Recovery Program - Gentilly Terrace and Desire Area Development ,Phoenix Global Engineering,Architect/Engineer,no,Express Pay,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,01-25-2017,01-27-2017,02-16-2017,02-21-2017,,,,,21393,"$114,620.25"
Recovery Program - Filmore Quadrant 1,Professional Engineering Consultants Corp.,Supervision,no,Express Pay,01 PM to Approve,1 PM to Approve,01 PM to Approve,Not Fully Paid,02-06-2017,02-06-2017,02-10-2017,,,,,,21355,"$67,677.87"
Recovery Program - Holy Cross - Part 1,Integrated Management Services,Architect/Engineer,no,Express Pay,Invoice on Hold,Invoice on Hold,Invoice on Hold,Not Fully Paid,12-31-2016,02-09-2017,02-09-2017,02-20-2017,,,,,21347,"$44,064.22"
Storm Drain Cleaning and CCTV - Katrina,"CDM Smith, Inc.",Architect/Engineer,no,Express Pay,03 Department to Create Receiver,3 Department to Create Receiver,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,12-31-2015,01-26-2017,02-03-2017,02-07-2017,,,,,21308,"$226,185.6"
Mirabeau Water Gardens,Waggonner & Ball Architects,Architect/Engineer,no,Express Pay,04 Department to Deliver to Finance,4 Department to Deliver to Finance,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,12-20-2016,12-20-2016,12-30-2016,01-23-2017,01-23-2017,,,,21115,"$519,738.5"
St. Roch Modeling & Hydraulic Study,Moffatt and Nichol,Architect/Engineer,no,Express Pay,06 Finance to Send to State,6 Finance to Cut Check,03 Fiscal to Send to D-CDBG Project Manager,Not Fully Paid,11-26-2016,12-12-2016,12-30-2016,01-10-2017,01-10-2017,02-20-2017,02-20-2017,,21116,"$93,003.5"
Recovery Program - Gentilly Woods,Barowka & Bonura,Architect/Engineer,no,Express Pay,Invoice on Hold,Invoice on Hold,Invoice on Hold,Not Fully Paid,11-30-2016,01-25-2017,12-24-2016,02-22-2017,,,,,21164,"$94,186.12"
Bayou St. John (Oak Park) Drainage Improvements,Stantec Consulting Services,Architect/Engineer,no,Express Pay,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,Fully Paid,11-25-2016,12-02-2016,12-07-2016,12-16-2016,12-19-2016,02-13-2017,02-13-2017,02-14-2017,21000,"$65,394.25"
