Project Name,Draw Request #,ILTR #,Date of Invoice,Date Received by Project Manager,Date Received by Owning Department,Date Approved by Owning Department,Date Sent to Accounting,Date Approved by Accounting,Date Sent to City OCD Fiscal Unit,Date Sent to State Consultant,Date Sent to State OCD,Date Sent to State Finance,Date Payment Made to City,Date Payment Hit City's Bank,Date Vendor Paid,Vendor Contract - Sub-Recipient Contract - Project - Owning Department,Vendor,Invoice Status,Record ID#
Methodist Hospital Planning Project,00-002,ILTR-00011,11-26-2008,12-23-2008,04-20-2009,04-21-2009,04-21-2009,04-28-2009,04-28-2009,,,,05-05-2009,05-06-2009,12-05-2008,OCD,Billes Architecture/Wink Design Group,12 Paid,9
Methodist Hospital Planning Project,00-002,ILTR-00011,03-02-2009,04-20-2009,04-20-2009,04-21-2009,04-21-2009,04-28-2009,04-28-2009,,,,05-05-2009,05-06-2009,04-14-2009,OCD,Billes Architecture/Wink Design Group,12 Paid,10
,00-002,ILTR-00011,01-26-2009,03-31-2009,04-20-2009,04-21-2009,04-21-2009,04-28-2009,04-28-2009,,,,05-05-2009,05-06-2009,03-10-2009,,,12 Paid,12
Methodist Hospital Planning Project,00-002,ILTR-00011,01-26-2009,03-31-2009,04-20-2009,04-21-2009,04-21-2009,04-28-2009,04-28-2009,,,,05-05-2009,05-06-2009,03-10-2009,OCD,Billes Architecture/Wink Design Group,12 Paid,13
Methodist Hospital Planning Project,00-001,ILTR-00011,01-14-2009,,01-05-2009,01-05-2009,01-12-2009,01-14-2009,01-16-2009,,,,02-11-2009,02-12-2009,01-05-2009,OCD,Billes Architecture/Wink Design Group,12 Paid,14
Bayou Road Streetscape,00-001,ILTR-00013,03-04-2009,03-19-2009,03-19-2009,04-16-2009,05-01-2009,05-04-2009,05-04-2009,,,,05-22-2009,05-26-2009,05-29-2009,DPW,"Three Fold Consultants, LLC",12 Paid,15
General Meyer Streetscape,00-001,ILTR-00016,05-07-2009,,,,06-01-2009,06-02-2009,06-03-2009,,,06-30-2009,07-07-2009,07-09-2009,07-10-2009,DPW,"M&S Collaborative, LLC",12 Paid,16
O.C. Haley Streetscape,00-001,ILTR-00021,04-13-2009,,,,06-03-2009,06-02-2009,,06-30-2009,,,06-22-2009,06-23-2009,06-24-2009,DPW,"Krebs, LaSalle, LeMieux Consultants, Inc",12 Paid,19
Tulane Av./Jefferson Davis Streetscape,00-001,ILTR-00026,03-26-2009,,,,05-05-2009,05-06-2009,05-07-2009,07-20-2009,,07-22-2009,07-29-2009,07-30-2009,06-24-2009,DPW,"Buchart Horn, Inc",12 Paid,21
Zoning-City's Master Plan,00-001,ILTR-00001,01-28-2009,,,06-05-2009,06-05-2009,06-08-2009,06-09-2009,,,,06-15-2009,06-16-2009,02-09-2009,OCD,Goody Clancy,12 Paid,40
Zoning-City's Master Plan,00-001,ILTR-00001,12-05-2008,,,06-05-2009,06-05-2009,06-08-2009,06-09-2009,,,,06-15-2009,06-16-2009,12-18-2008,OCD,Goody Clancy,12 Paid,41
N. Claiborne Streetscapes,00-001,ILTR-00058,05-01-2009,,05-01-2009,05-01-2009,06-08-2009,06-09-2009,06-09-2009,06-30-2009,06-30-2009,06-30-2009,06-22-2009,06-23-2009,06-24-2009,DPW,"Buchart Horn, Inc",12 Paid,44
Lower 9th Ward Streetscapes,00-002,ILTR-00012,03-31-2009,05-01-2009,06-08-2009,05-01-2009,06-08-2009,06-09-2009,06-10-2009,06-30-2009,,,06-24-2009,06-25-2009,07-09-2009,DPW,"Neel-Shaffer, Inc",12 Paid,45
