"","Qtr","WorkingDays","select(aggregate(data = POs, Req ~ Qtr, FUN = length), -Qtr, "
"1",2011 Q1,3.45056497175141,2221
"2",2011 Q2,4.27831010452962,2296
"3",2011 Q3,4.14668039114771,1943
"4",2011 Q4,4.57321041214751,1845
"5",2012 Q1,3.25347506132461,2446
"6",2012 Q2,3.79563812600969,2476
"7",2012 Q3,4.05571428571429,2100
"8",2012 Q4,3.88343558282209,2445
"9",2013 Q1,3.71815488785442,2363
"10",2013 Q2,4.30194552529183,2570
"11",2013 Q3,3.83574879227053,2484
"12",2013 Q4,3.60099396521122,2817
"13",2014 Q1,3.69438669438669,2405
"14",2014 Q2,3.97940691927512,2428
"15",2014 Q3,4.18082964156263,2483
"16",2014 Q4,4.16485647788984,2578
"17",2015 Q1,3.65586419753086,2592
"18",2015 Q2,4.40925524222704,2766
"19",2015 Q3,3.93024118738404,2695
"20",2015 Q4,3.85267696730147,2783
"21",2016 Q1,3.23759099933819,3022
"22",2016 Q2,3.58183079056865,2884
"23",2016 Q3,7.19077568134172,477
"24",2016 Q4,3.03306205493388,1966
